shipment_id,region,transport_mode,priority,month,shipment_volume_units,distance_km,delivery_time_days,transport_cost,on_time
S0069,South,Road,Standard,2,146,719.2,5.57,25.0,1
S0070,West,Road,Standard,12,142,257.1,4.26,34.09,1
S0071,South,Rail,Express,2,128,1070.8,4.58,,0
S0072,West,Road,Standard,9,128,502.8,4.75,45.05,1
S0073,East,Road,Standard,9,61,643.7,5.22,44.65,1
S0074,South,Air,Express,8,98,592.8,3.88,64.9,0
S0075,South,Rail,Standard,11,117,490.6,5.03,52.63,1
S0076,West,Road,Standard,1,142,546.2,4.99,54.17,1
S0077,West,Road,Express,4,175,56.9,2.75,47.2,1
S0078,North,Road,Standard,3,109,592.1,5.39,60.44,1
S0079,North,Road,Standard,7,138,222.2,3.8,37.86,1
S0080,East,Road,Standard,8,125,378.7,4.27,41.01,1
S0081,North,Road,Standard,11,104,488.6,5.72,25.15,1
S0082,West,Air,Standard,5,152,738.5,4.62,112.99,1
S0083,East,Air,Standard,3,88,222.3,2.33,81.27,1
S0084,South,Rail,Standard,12,162,296.7,4.08,33.15,1
S0085,South,Air,Standard,9,143,322.1,3.6,91.7,1
S0086,South,Rail,Standard,10,92,442.9,3.1,75.5,1
S0087,East,Rail,Standard,6,100,334.6,4.03,49.2,1
S0088,West,Rail,Standard,6,181,547.7,5.53,69.43,1
S0089,South,Road,Standard,5,120,124.3,4.23,29.16,1
S0090,North,Road,Standard,9,123,360.5,6.15,25.0,1
S0091,South,Road,Standard,3,140,955.2,7.48,72.67,1
S0092,East,Road,Express,12,66,335.1,3.89,25.0,1
S0093,West,Road,Standard,3,149,503.9,7.06,41.37,1
S0094,West,Road,Standard,6,96,671.7,6.13,46.79,1
S0095,West,Road,Express,4,117,494.1,3.76,48.6,1
S0096,North,Road,Standard,8,140,1127.8,7.86,53.76,1
S0097,West,Road,Standard,9,145,415.3,4.58,25.0,0
S0098,South,Rail,Standard,12,116,564.2,4.91,48.34,0
S0099,South,Rail,Standard,10,138,454.1,4.12,49.19,1
S0100,Central,Road,Standard,3,83,842.7,6.76,39.63,1
S0101,Central,Road,Standard,3,85,305.7,4.35,50.67,1
S0102,East,Road,Standard,11,113,1181.9,6.88,45.34,1
S0103,West,Rail,Express,6,115,261.1,2.97,57.32,1
S0104,Central,Rail,Express,2,86,1009.6,4.65,67.78,1
S0105,East,Road,Standard,10,86,206.4,2.85,48.13,0
S0106,East,Rail,Standard,8,51,575.1,3.75,50.77,1
S0107,West,Road,Standard,1,109,393.5,4.03,53.02,1
S0108,West,Road,Express,10,179,663.4,3.79,54.06,0
S0109,South,Air,Standard,8,136,511.4,4.38,115.83,1
S0110,Central,Road,Standard,8,48,642.2,5.9,25.0,0
S0111,West,Road,Standard,11,92,202.0,4.8,25.0,0
S0112,South,Road,Standard,6,122,137.7,4.47,42.19,1
S0113,West,Road,Standard,6,179,182.2,4.98,50.34,1
S0114,North,Air,Standard,8,105,179.3,3.35,106.64,1
S0115,South,Air,Standard,3,162,200.5,3.32,99.31,1
S0116,East,Road,Express,2,105,272.1,3.66,59.29,1
S0117,East,Road,Standard,11,108,270.6,4.97,32.29,1
S0118,East,Rail,Standard,3,58,399.2,4.39,55.62,1
S0119,West,Road,Standard,7,161,232.2,5.22,51.91,1
S0120,North,Rail,Standard,4,101,243.9,2.24,75.27,1
S0121,North,Road,Standard,3,134,347.7,4.5,39.1,1
S0122,North,Road,Standard,8,87,718.1,5.56,38.59,1
S0123,South,Rail,Standard,10,130,302.5,4.78,34.65,0
S0124,West,Road,Standard,6,145,383.3,5.86,67.38,1
S0125,South,Road,Standard,2,121,422.1,3.96,49.89,1
S0126,North,Road,Standard,3,121,215.0,5.15,45.09,1
S0127,West,Road,Standard,2,128,321.0,3.83,85.83,1
S0128,South,Road,Standard,11,107,256.0,3.58,42.8,1
S0129,South,Road,Standard,4,170,677.9,5.71,37.62,1
S0130,North,Air,Standard,5,139,645.1,4.34,109.89,1
S0131,South,Air,Standard,1,104,240.2,2.13,87.39,1
S0132,Central,Road,Standard,6,101,378.8,5.47,35.15,0
S0133,North,Road,Express,11,89,564.4,4.11,38.43,0
S0134,West,Rail,Express,5,102,478.2,3.75,48.0,1
S0135,North,Air,Standard,8,139,509.5,3.83,90.54,1
S0136,South,Road,Standard,3,77,215.9,4.08,56.23,1
S0137,Central,Road,Standard,2,111,987.8,7.02,61.38,0
S0138,North,Road,Standard,9,103,268.8,5.45,34.97,0
S0139,East,Road,Standard,1,89,264.1,2.46,47.08,1
S0140,South,Road,Express,6,136,168.8,2.52,,1
S0141,North,Road,Express,4,126,357.0,3.39,,1
S0142,North,Rail,Standard,1,87,763.5,4.69,70.12,1
S0143,Central,Rail,Standard,7,105,475.3,4.7,58.36,1
S0144,North,Rail,Express,12,113,374.3,2.98,64.64,1
S0145,West,Road,Standard,1,100,617.3,5.04,57.16,1
S0146,West,Road,Express,10,130,752.2,4.34,55.61,1
S0147,West,Rail,Standard,7,174,644.2,5.67,64.52,1
S0148,North,Rail,Express,9,157,115.3,2.41,76.1,1
S0149,West,Road,Standard,2,155,620.5,,46.06,1
S0150,South,Rail,Standard,11,92,521.6,4.53,61.5,1
S0151,East,Road,Standard,1,109,236.9,4.26,43.78,0
S0152,Central,Rail,Standard,11,109,522.9,3.9,49.39,0
S0153,South,Road,Standard,8,145,764.4,6.37,43.98,1
S0154,North,Road,Express,5,132,276.2,3.0,36.55,1
S0155,South,Road,Standard,1,135,671.6,6.56,44.95,1
S0156,North,Road,Express,8,108,481.6,3.92,25.0,0
S0157,West,Road,Standard,2,118,64.8,4.5,25.5,1
S0158,North,Road,Standard,8,57,391.3,3.96,39.9,0
S0159,East,Road,Standard,10,105,470.1,4.77,61.17,1
S0160,East,Rail,Standard,4,100,328.9,3.23,60.64,1
S0161,South,Road,Standard,3,141,492.5,4.72,25.0,1
S0162,Central,Road,Standard,3,48,366.0,5.68,43.52,0
S0163,South,Rail,Standard,3,143,1325.0,8.33,70.61,0
S0164,South,Road,Standard,2,183,314.7,3.98,54.44,1
S0165,North,Road,Express,3,112,241.2,2.87,38.22,1
S0166,West,Rail,Standard,8,133,651.5,5.12,60.55,1
S0167,East,Rail,Express,4,104,340.0,3.21,52.11,0
S0168,East,Road,Standard,10,152,378.2,3.7,45.97,1
S0169,West,Rail,Standard,10,106,358.6,3.11,72.98,1
S0170,Central,Road,Standard,10,91,630.2,6.15,45.68,1
S0171,West,Road,Standard,7,113,199.5,2.89,52.67,1
S0172,North,Rail,Standard,4,95,670.8,4.83,72.63,0
S0173,West,Road,Standard,12,134,547.5,5.44,57.93,1
S0174,Central,Rail,Standard,3,123,1072.8,7.12,45.94,0
S0175,South,Road,Standard,6,175,448.2,5.04,66.22,0
S0176,South,Rail,Standard,6,138,208.7,3.51,48.13,0
S0177,West,Road,Standard,9,124,451.2,5.55,55.08,1
S0178,Central,Road,Express,7,155,485.6,4.13,35.72,1
S0179,Central,Road,Standard,10,73,803.9,5.93,31.78,1
S0180,East,Road,Express,12,79,208.4,2.96,61.63,1
S0181,Central,Rail,Express,5,35,144.5,2.78,28.47,1
S0182,Central,Road,Express,11,124,456.9,4.67,61.25,1
S0183,North,Road,Express,3,137,1100.5,5.5,64.57,1
S0184,West,Road,Standard,11,203,596.1,6.48,51.53,1
S0185,East,Road,Standard,3,56,616.9,4.95,41.14,1
S0186,North,Rail,Standard,11,151,166.1,3.31,36.87,1
S0187,West,Road,Express,5,137,412.0,3.42,45.3,1
S0188,South,Air,Standard,12,148,813.0,5.02,101.68,1
S0189,East,Road,Standard,2,49,489.1,4.26,32.23,0
S0190,West,Road,Express,6,176,138.5,3.57,55.82,1
S0191,Central,Road,Standard,11,107,407.0,5.73,45.63,1
S0192,West,Road,Standard,1,134,571.3,5.22,28.44,0
S0193,South,Rail,Standard,4,143,380.3,4.74,70.6,0
S0194,East,Air,Standard,2,74,225.0,3.16,97.35,0
S0195,South,Rail,Standard,4,109,663.4,5.61,53.27,0
S0196,South,Road,Express,5,112,307.0,2.61,50.54,0
S0197,North,Road,Standard,8,58,517.5,4.94,37.13,1
S0198,Central,Road,Standard,4,109,400.4,5.11,25.8,0
S0199,South,Road,Standard,2,158,299.7,5.01,70.83,0
S0200,West,Rail,Standard,3,115,1174.3,6.39,71.95,1
S0201,East,Road,Standard,12,105,279.0,2.77,37.47,0
S0202,Central,Road,Express,12,78,421.2,3.18,33.57,0
S0203,North,Rail,Express,3,119,399.6,3.08,72.96,1
S0204,South,Road,Standard,3,107,450.0,4.99,35.81,0
S0205,South,Road,Standard,1,100,1122.7,8.19,37.77,1
S0206,South,Road,Standard,12,154,571.7,5.85,41.9,1
S0207,South,Road,Standard,9,123,297.9,4.56,59.64,1
S0208,North,Road,Standard,10,167,919.7,6.61,73.29,0
S0209,South,Road,Standard,4,126,631.9,6.31,46.28,0
S0210,North,Road,Standard,8,84,301.6,4.02,56.1,0
S0211,East,Rail,Express,1,129,837.0,4.08,77.16,0
S0212,North,Rail,Standard,9,128,164.9,2.88,48.79,0
S0213,South,Road,Express,7,145,194.3,3.71,38.54,1
S0214,East,Road,Standard,4,128,132.8,4.24,42.05,0
S0215,East,Road,Express,9,77,100.1,2.36,25.0,1
S0216,East,Road,Standard,8,91,801.7,5.96,50.36,1
S0217,South,Road,Standard,6,120,453.5,5.33,48.99,1
S0218,South,Road,Express,3,89,140.6,2.69,25.0,1
S0219,Central,Road,Express,1,78,393.2,3.38,35.88,1
S0220,West,Road,Standard,12,172,684.1,5.46,51.99,1
S0221,West,Road,Standard,4,142,248.6,4.62,56.3,1
S0222,North,Road,Standard,4,72,328.9,4.23,25.0,1
S0223,North,Rail,Standard,9,66,1207.4,6.48,62.15,1
S0224,Central,Road,Standard,4,132,348.0,4.17,36.58,1
S0225,West,Road,Express,5,132,147.9,2.95,51.7,1
S0226,Central,Rail,Standard,9,67,286.5,4.04,47.75,1
S0227,South,Road,Standard,8,117,134.6,3.75,61.42,1
S0228,North,Road,Standard,8,69,600.2,5.46,52.05,1
S0229,North,Air,Standard,1,150,226.6,3.72,100.09,1
S0230,South,Road,Standard,6,114,222.0,4.69,41.51,1
S0231,South,Road,Standard,6,163,1273.3,8.12,65.19,0
S0232,West,Road,Standard,8,136,180.9,4.0,51.57,1
S0233,Central,Road,Standard,2,125,160.7,4.05,25.0,1
S0234,North,Road,Express,2,117,200.9,2.52,26.42,0
S0235,Central,Road,Standard,10,109,697.1,5.72,56.01,1
S0236,East,Road,Express,9,115,553.1,3.83,63.8,1
S0237,West,Road,Standard,10,152,284.2,4.03,25.0,1
S0238,East,Road,Standard,4,105,267.9,4.42,57.57,1
S0239,South,Road,Standard,12,118,527.5,4.6,44.36,1
S0240,South,Road,Standard,4,179,464.2,4.11,25.06,1
S0241,East,Rail,Standard,8,70,362.4,4.59,25.0,0
S0242,East,Road,Standard,2,95,564.8,4.98,25.0,0
S0243,South,Road,Standard,12,125,192.3,3.62,38.34,1
S0244,North,Road,Standard,4,121,229.1,3.56,38.18,1
S0245,North,Road,Standard,10,98,582.9,5.63,54.39,1
S0246,Central,Road,Standard,4,94,487.6,6.28,34.98,1
S0247,North,Road,Standard,10,105,410.5,4.55,26.42,0
S0248,West,Road,Standard,6,91,1246.3,7.33,55.76,0
S0249,West,Rail,Standard,1,135,641.5,5.84,63.73,1
S0250,West,Air,Standard,3,104,289.7,2.13,105.21,1
S0251,North,Road,Standard,9,61,242.1,5.43,25.0,1
S0252,Central,Road,Standard,3,89,502.0,7.01,55.11,1
S0253,West,Road,Standard,4,149,800.2,4.44,47.94,1
S0254,West,Road,Standard,7,150,122.3,3.95,27.42,1
S0255,South,Road,Express,4,141,479.8,3.36,40.06,1
S0256,East,Rail,Standard,2,41,325.5,3.69,61.36,0
S0257,East,Rail,Express,8,57,453.4,2.91,48.89,1
S0258,South,Rail,Express,9,180,153.5,3.04,48.28,1
S0259,South,Road,Standard,9,96,799.9,5.97,63.76,1
S0260,North,Air,Standard,12,127,931.7,4.85,146.8,1
S0261,South,Road,Standard,2,106,606.1,5.34,49.93,0
S0262,East,Road,Express,6,97,1045.6,5.17,74.4,0
S0263,West,Road,Standard,3,117,315.3,3.77,55.35,1
S0264,South,Air,Standard,11,141,472.9,2.93,101.08,1
S0265,Central,Road,Standard,7,89,611.6,7.07,45.64,0
S0266,South,Rail,Standard,2,112,506.0,4.22,39.94,0
S0267,West,Road,Standard,9,106,341.4,4.51,37.43,1
S0268,South,Air,Standard,1,132,364.8,3.37,97.74,1
S0269,South,Road,Standard,4,91,881.4,6.65,46.67,1
S0270,South,Road,Express,9,137,397.7,4.33,34.63,1
S0271,South,Air,Standard,7,199,772.7,5.51,117.66,1
S0272,South,Road,Standard,10,163,384.8,3.91,55.12,1
S0273,South,Road,Standard,7,145,769.9,5.19,53.76,0
S0274,North,Road,Express,11,108,424.6,3.32,25.0,1
S0275,East,Road,Express,7,41,581.0,3.61,28.76,0
S0276,West,Road,Standard,1,98,261.6,3.2,25.0,1
S0277,West,Road,Standard,1,171,472.2,5.73,54.17,0
S0278,North,Road,Standard,10,88,264.0,3.59,43.41,1
S0279,Central,Rail,Express,1,65,310.4,3.74,52.23,1
S0280,East,Road,Standard,5,90,326.5,5.69,27.14,1
S0281,South,Road,Standard,1,95,360.9,4.47,43.04,1
S0282,South,Road,Standard,4,91,717.0,6.05,41.57,1
S0283,South,Road,Standard,8,124,302.9,3.72,25.37,1
S0284,West,Road,Standard,3,110,442.7,5.34,53.69,1
S0285,North,Air,Standard,6,89,771.4,4.5,121.01,1
S0286,West,Air,Standard,12,113,573.7,3.54,121.69,0
S0287,South,Road,Express,1,140,123.9,2.74,30.02,1
S0288,West,Road,Standard,1,129,150.9,3.74,54.52,1
S0289,North,Road,Standard,4,105,511.8,4.93,37.59,0
S0290,South,Road,Standard,10,142,293.3,5.16,52.19,1
S0291,East,Road,Express,5,91,138.1,2.44,26.35,1
S0292,South,Road,Standard,8,117,279.9,5.56,36.82,0
S0293,Central,Road,Standard,1,98,523.6,4.65,25.0,1
S0294,South,Road,Standard,9,144,324.2,5.7,39.82,1
S0295,East,Road,Standard,1,91,416.7,4.14,41.83,1
S0296,Central,Road,Standard,9,87,342.8,4.9,32.5,1
S0297,Central,Road,Standard,2,63,255.7,4.23,57.98,1
S0298,East,Road,Standard,11,71,466.6,4.68,25.0,1
S0299,East,Rail,Standard,4,117,129.3,3.96,42.68,1
S0300,North,Road,Standard,3,122,235.5,5.27,26.71,1
S0301,East,Road,Express,5,108,640.0,4.56,40.18,1
S0302,South,Road,Standard,1,133,153.9,3.8,52.96,1
S0303,North,Rail,Standard,2,111,403.8,4.43,76.34,0
S0304,North,Road,Standard,8,129,308.4,4.04,32.18,1
S0305,East,Rail,Standard,4,121,290.2,3.32,44.25,1
S0306,West,Air,Standard,5,161,677.1,3.97,99.47,0
S0307,West,Road,Standard,10,132,758.0,5.73,71.99,1
S0308,North,Road,Standard,2,149,200.5,4.42,57.16,1
S0309,West,Road,Standard,5,141,362.8,3.52,43.2,1
S0310,South,Air,Express,3,143,109.4,2.02,83.28,1
S0311,West,Road,Express,6,143,654.2,4.82,33.99,0
S0312,West,Air,Standard,4,142,390.9,4.47,110.49,0
S0313,South,Road,Standard,1,104,147.4,3.58,42.86,1
S0314,West,Road,Standard,1,155,242.8,3.51,25.0,1
S0315,West,Road,Standard,11,215,189.3,4.71,43.94,1
S0316,West,Road,Standard,1,125,234.0,2.8,62.33,1
S0317,West,Road,Standard,10,137,115.6,4.68,34.95,1
S0318,East,Road,Standard,11,83,875.7,6.12,72.14,0
S0319,West,Rail,Standard,6,121,205.5,4.89,61.69,0
S0320,Central,Rail,Express,4,128,403.2,2.58,42.33,0
S0321,Central,Road,Standard,10,66,520.7,6.01,36.34,1
S0322,North,Road,Standard,12,97,758.7,5.85,48.06,1
S0323,West,Road,Standard,2,91,411.9,4.57,27.1,1
S0324,North,Rail,Standard,12,89,339.5,3.15,38.31,0
S0325,East,Road,Standard,12,47,422.7,5.08,56.96,1
S0326,North,Rail,Express,2,128,199.8,2.98,39.57,1
S0327,East,Road,Standard,1,173,210.3,5.52,59.45,1
S0328,North,Road,Standard,9,100,334.6,5.21,33.35,0
S0329,North,Road,Standard,1,63,93.3,3.29,28.93,1
S0330,West,Road,Standard,8,160,259.1,3.83,52.02,1
S0331,East,Rail,Standard,1,75,296.5,2.97,41.07,1
S0332,South,Road,Standard,9,161,1140.2,8.28,74.51,0
S0333,East,Road,Express,3,87,817.8,4.01,25.0,1
S0334,Central,Air,Standard,2,67,519.6,5.26,108.47,1
S0335,South,Air,Standard,1,120,664.1,4.9,76.35,1
S0336,North,Rail,Standard,3,131,209.2,3.95,50.61,1
S0337,South,Road,Express,7,119,429.8,3.4,55.92,1
S0338,East,Road,Standard,1,81,615.3,5.84,53.19,0
S0339,South,Rail,Standard,10,119,210.4,3.7,34.31,1
S0340,Central,Road,Standard,8,49,151.1,3.93,25.0,1
S0341,South,Road,Standard,4,136,486.6,5.6,37.63,1
S0342,Central,Rail,Standard,12,35,162.0,3.57,44.84,1
S0343,East,Road,Standard,8,83,548.7,4.68,25.0,1
S0344,North,Road,Standard,9,131,750.9,6.38,53.22,0
S0345,East,Air,Standard,3,103,214.7,3.02,104.8,1
S0346,East,Road,Standard,9,112,225.4,4.56,34.06,1
S0347,Central,Road,Express,7,83,737.7,4.22,55.15,0
S0348,West,Road,Express,12,168,413.3,3.03,52.07,1
S0349,North,Road,Standard,6,136,679.5,6.9,44.57,1
S0350,South,Road,Standard,9,137,342.3,5.69,25.0,1
S0351,North,Rail,Standard,5,136,358.6,4.81,59.32,1
S0352,South,Rail,Express,1,146,406.7,3.0,46.22,1
S0353,North,Road,Standard,2,98,1003.5,6.51,48.07,0
S0354,North,Road,Standard,11,72,648.0,6.39,51.02,1
S0355,West,Rail,Standard,9,147,253.7,3.69,76.32,0
S0356,North,Road,Express,5,125,449.0,3.3,44.58,1
S0357,East,Road,Standard,9,126,327.5,5.82,49.9,0
S0358,East,Road,Standard,1,69,290.1,4.3,25.0,1
S0359,North,Road,Express,1,85,539.5,4.55,46.44,1
S0360,North,Road,Standard,7,123,474.7,4.16,44.7,1
S0361,Central,Road,Express,8,83,216.3,3.47,51.81,1
S0362,South,Road,Standard,12,72,407.3,6.06,30.66,0
S0363,South,Road,Standard,10,136,284.5,4.51,38.78,1
S0364,South,Road,Express,4,73,519.0,3.53,55.98,1
S0365,North,Road,Standard,10,84,276.6,3.57,34.95,1
S0366,West,Road,Standard,6,173,360.0,5.55,32.61,1
S0367,East,Road,Standard,10,146,295.2,4.06,79.25,1
S0368,North,Road,Standard,3,76,126.6,3.76,25.0,0
S0369,West,Road,Standard,1,126,973.9,5.89,57.59,0
S0370,Central,Road,Standard,1,86,404.5,6.11,44.55,0
S0371,East,Road,Standard,12,145,994.1,7.56,64.85,1
S0372,West,Air,Standard,1,121,415.9,3.74,103.61,0
S0373,West,Road,Standard,12,122,598.6,4.72,45.98,1
S0374,West,Rail,Standard,9,178,264.5,5.04,56.82,1
S0375,South,Air,Standard,2,115,268.7,3.03,87.17,0
S0376,South,Road,Standard,11,145,390.7,4.14,75.94,1
S0377,Central,Road,Express,2,44,988.8,4.12,46.78,1
S0378,West,Rail,Standard,2,130,221.1,3.35,62.28,1
S0379,West,Road,Standard,7,89,109.2,2.85,27.87,1
S0380,East,Road,Standard,4,65,727.5,5.32,40.59,0
S0381,North,Road,Express,4,133,620.8,4.36,43.96,0
S0382,Central,Road,Standard,3,84,305.8,4.53,25.0,1
S0383,East,Road,Standard,8,86,1220.0,7.61,58.08,0
S0384,West,Air,Standard,1,114,1251.6,5.97,115.8,0
S0385,West,Air,Standard,3,129,121.3,2.88,117.91,0
S0386,Central,Road,Standard,7,93,260.5,5.9,25.0,1
S0387,East,Road,Express,6,123,389.0,3.29,35.29,1
S0388,Central,Road,Standard,9,20,510.4,5.5,25.0,1
S0389,South,Air,Standard,3,102,465.0,2.85,125.32,1
S0390,East,Road,Standard,8,99,403.6,5.77,28.93,1
S0391,North,Air,Standard,10,107,200.3,2.72,108.48,1
S0392,South,Rail,Standard,5,136,549.4,5.53,75.03,1
S0393,North,Road,Standard,4,117,568.3,5.28,45.2,0
S0394,East,Road,Standard,7,86,697.1,6.09,27.82,1
S0395,South,Rail,Standard,7,110,182.9,4.03,31.83,1
S0396,West,Road,Express,2,128,351.4,3.16,55.01,1
S0397,East,Road,Standard,7,127,296.5,5.22,25.0,0
S0398,West,Air,Standard,2,115,180.8,2.49,106.6,1
S0399,West,Road,Standard,7,133,347.9,5.2,45.03,0
S0400,West,Road,Standard,12,140,206.7,4.0,45.91,0
S0401,West,Road,Standard,7,179,162.5,4.45,50.4,1
S0402,Central,Road,Express,10,77,625.7,3.95,31.23,1
S0403,East,Air,Standard,4,122,304.7,3.44,90.6,1
S0404,South,Road,Express,12,159,252.6,2.71,53.89,1
S0405,Central,Road,Express,10,83,800.1,4.7,40.56,1
S0406,Central,Road,Standard,12,79,578.6,5.66,25.0,0
S0407,West,Air,Standard,9,126,102.7,2.41,109.91,0
S0408,East,Road,Standard,8,88,512.5,5.06,28.14,1
S0409,South,Rail,Standard,7,149,511.0,4.85,68.61,0
S0410,Central,Road,Express,12,91,339.0,3.24,58.09,1
S0411,North,Rail,Standard,11,117,331.0,4.01,55.02,1
S0412,North,Air,Express,6,78,135.6,1.5,110.12,1
S0413,South,Rail,Standard,2,98,1211.7,8.4,73.26,1
S0414,Central,Air,Standard,1,145,347.1,4.64,129.82,1
S0415,South,Road,Standard,3,120,495.7,5.31,30.87,1
S0416,West,Rail,Standard,1,113,359.2,4.93,54.82,0
S0417,South,Road,Standard,3,165,255.3,3.2,54.03,1
S0418,East,Road,Standard,2,103,654.8,3.94,45.23,0
S0419,South,Rail,Standard,12,141,440.7,4.25,75.85,1
S0420,Central,Air,Express,2,81,348.9,2.08,94.54,1
S0421,North,Road,Standard,8,101,492.5,4.92,72.54,0
S0422,South,Road,Standard,5,120,380.1,4.89,72.53,1
S0423,South,Road,Standard,3,86,1034.6,7.37,59.59,1
S0424,South,Road,Standard,9,123,641.5,4.87,57.5,1
S0425,North,Road,Express,12,118,541.8,3.99,63.37,1
S0426,East,Road,Standard,10,147,145.6,4.09,25.0,1
S0427,South,Road,Standard,12,127,553.2,5.56,29.6,1
S0428,East,Road,Standard,8,30,544.9,4.7,54.68,1
S0429,South,Rail,Standard,9,122,209.1,4.61,56.63,1
S0430,East,Road,Standard,2,172,143.6,4.07,39.38,1
S0431,Central,Air,Express,11,109,625.8,4.25,109.12,1
S0432,East,Road,Standard,9,72,673.1,5.06,25.0,1
S0433,East,Road,Standard,4,112,269.6,4.86,36.47,0
S0434,East,Road,Standard,5,74,262.0,4.21,25.0,1
S0435,South,Road,Standard,8,87,436.0,4.64,53.46,1
S0436,South,Air,Express,1,115,304.1,2.73,117.4,1
S0437,South,Road,Standard,10,128,141.6,3.82,45.74,0
S0438,North,Road,Standard,4,58,207.6,2.3,37.17,1
S0439,East,Air,Standard,1,63,484.8,1.83,80.25,0
S0440,North,Air,Standard,4,110,215.0,3.91,109.48,0
S0441,East,Road,Express,11,84,693.4,4.66,55.6,1
S0442,South,Road,Standard,4,136,539.6,6.55,66.04,0
S0443,East,Road,Standard,7,61,496.6,4.96,68.93,1
S0444,South,Road,Standard,10,145,430.5,4.15,25.0,0
S0445,West,Road,Standard,1,102,248.1,4.01,32.06,0
S0446,East,Road,Standard,10,141,584.6,5.48,39.91,0
